text	code	workerid	probid	subid	line	indent
let len = integer	int len;	39	982A	47863047	1	1
let str = string	string str;	39	982A	47863047	2	1
read len	cin >> len;	39	982A	47863047	3	1
read str	cin >> str;	39	982A	47863047	4	1
if len is 1 do the following	if (len == 1) {	39	982A	47863047	5	1
if str[0] is 1	if (str[0] == '1')	39	982A	47863047	6	2
write Yes and new line to stdout	puts("Yes");	39	982A	47863047	7	3
else	else	39	982A	47863047	8	2
write No and new line to stdout	puts("No");	39	982A	47863047	9	3
	return 0;	39	982A	47863047	10	2
	}	39	982A	47863047	11	1
for integer i=1 to len exclusive do the following	for (int i = 1; i < len; i++) {	39	982A	47863047	12	1
if str[i] is str[i - 1] and str[i] is 1	if (str[i] == str[i - 1] && str[i] == '1') {	39	982A	47863047	13	2
write No and new line to stdout	puts("No");	39	982A	47863047	14	3
	return 0;	39	982A	47863047	15	3
	}	39	982A	47863047	16	2
	}	39	982A	47863047	17	1
for integer i=2 to len exclusive do the following	for (int i = 2; i < len; i++) {	39	982A	47863047	18	1
if str[i] is str[i - 1] and str[i - 1] is str[i - 2] and str[i] is 0	if (str[i] == str[i - 1] && str[i - 1] == str[i - 2] && str[i] == '0') {	39	982A	47863047	19	2
write No and new line to stdout	puts("No");	39	982A	47863047	20	3
	return 0;	39	982A	47863047	21	3
	}	39	982A	47863047	22	2
	}	39	982A	47863047	23	1
if str[0] is str[1] and str[0] is 0	if (str[0] == str[1] && str[0] == '0') {	39	982A	47863047	24	1
write No and new line to stdout	puts("No");	39	982A	47863047	25	2
	return 0;	39	982A	47863047	26	2
	}	39	982A	47863047	27	1
if str[len -1 1] is str[len - 2] and str[len - 1] is 0	if (str[len - 1] == str[len - 2] && str[len - 1] == '0') {	39	982A	47863047	28	1
write No and new line to stdout	puts("No");	39	982A	47863047	29	2
	return 0;	39	982A	47863047	30	2
	}	39	982A	47863047	31	1
write Yes and new line to stdout	puts("Yes");	39	982A	47863047	32	1
	return 0;	39	982A	47863047	33	1
	}	39	982A	47863047	34	0
	int main() {	54	960A	48072500	0	0
declare new string variable s	string s;	54	960A	48072500	1	1
read s and keep looping	while (cin >> s) {	54	960A	48072500	2	1
declare new integers a, b and c = 0	int a = 0, b = 0, c = 0;	54	960A	48072500	3	2
declare integer variable i = 0	int i = 0;	54	960A	48072500	4	2
ok is a new integer variable with value true	int ok = true;	54	960A	48072500	5	2
while i < length of s and i-th character of s is 'a'	while (i < s.size() && s[i] == 'a') {	54	960A	48072500	6	2
increment a	a++;	54	960A	48072500	7	3
increment i	i++;	54	960A	48072500	8	3
	}	54	960A	48072500	9	2
set ok to ok & a > 0	ok &= a > 0;	54	960A	48072500	10	2
while i < length of s and i-th character of s is 'b'	while (i < s.size() && s[i] == 'b') {	54	960A	48072500	11	2
increment b	b++;	54	960A	48072500	12	3
increment i by one	i++;	54	960A	48072500	13	3
	}	54	960A	48072500	14	2
change ok to ok & b > 0	ok &= b > 0;	54	960A	48072500	15	2
while i < length of s and i-th character of s is 'c'	while (i < s.size() && s[i] == 'c') {	54	960A	48072500	16	2
increment c by one	c++;	54	960A	48072500	17	3
increment i by one	i++;	54	960A	48072500	18	3
	}	54	960A	48072500	19	2
ok = ok & (b == c || a == c) && i == s.size()	ok &= (b == c || a == c) && i == s.size();	54	960A	48072500	20	2
print "YES" if ok is true of "NO" otherwise	cout << (ok ? "YES" : "NO") << endl;	54	960A	48072500	21	2
	}	54	960A	48072500	22	1
	return 0;	54	960A	48072500	23	1
	}	54	960A	48072500	24	0
declare solve with no argument, returning void	void solve() {	01	251A	48408632	0	0
declare integers n, d	int n, d;	01	251A	48408632	1	1
read n, d	cin >> n >> d;	01	251A	48408632	2	1
declare integer array a size n	int a[n];	01	251A	48408632	3	1
for i = 0 to n exclusive, read a[i]	for (int i = 0; i < n; i++) { cin >> a[i]; }	01	251A	48408632	4	1
if n is 1 or n is 2	if (n == 1 or n == 2) {	01	251A	48408632	5	1
print 0 and newline	cout << 0 << endl;	01	251A	48408632	6	2
return from function	return;	01	251A	48408632	7	2
	}	01	251A	48408632	8	1
declare long long cnt = 0	long long cnt = 0;	01	251A	48408632	9	1
declare integer r = 0	int r = 0;	01	251A	48408632	10	1
declare boolean b = true	bool b = true;	01	251A	48408632	11	1
for i = 0 to n - 2 exclusive	for (int i = 0; i < n - 2; i++) {	01	251A	48408632	12	1
declare long long k = r - i - 2	long long k = r - i - 2;	01	251A	48408632	13	2
if k is less than 0, let k be 0	if (k < 0) k = 0;	01	251A	48408632	14	2
increment cnt by (k * (k + 1) / 2)	cnt += (k * (k + 1) / 2);	01	251A	48408632	15	2
for j = r to n exclusive	for (int j = r; j < n; j++) {	01	251A	48408632	16	2
if a[j] is less than or equal to a[i] + d	if (a[j] <= a[i] + d) {	01	251A	48408632	17	3
increment cnt by maximum of ( 0 and j - i - 1 )	cnt += (max(0, j - i - 1));	01	251A	48408632	18	4
else	} else {	01	251A	48408632	19	3
let r be j	r = j;	01	251A	48408632	20	4
let b be false	b = false;	01	251A	48408632	21	4
end loop	break;	01	251A	48408632	22	4
	}	01	251A	48408632	23	3
	}	01	251A	48408632	24	2
if b is true	if (b)	01	251A	48408632	25	2
let r be n - 1	r = n - 1;	01	251A	48408632	26	3
else	else	01	251A	48408632	27	2
let b be true	b = true;	01	251A	48408632	28	3
	}	01	251A	48408632	29	1
print cnt and newline	cout << cnt << endl;	01	251A	48408632	30	1
	}	01	251A	48408632	31	0
	int main() {	01	251A	48408632	32	0
run solve	solve();	01	251A	48408632	33	1
	return 0;	01	251A	48408632	34	1
	}	01	251A	48408632	35	0
	int main() {	01	714A	47314732	0	0
declare long longs i1, r1, i2, r2, k	long long i1, r1, i2, r2, k;	01	714A	47314732	1	1
declare long long time	long long time;	01	714A	47314732	2	1
while read i1, r1, i2, r2, k is true	while (cin >> i1 >> r1 >> i2 >> r2 >> k) {	01	714A	47314732	3	1
declare long long i = maximum of i1 and i2	long long i = max(i1, i2);	01	714A	47314732	4	2
declare long long r = minimum of r1 and r2	long long r = min(r1, r2);	01	714A	47314732	5	2
if i is less than or equal to r	if (i <= r) {	01	714A	47314732	6	2
if i is less than or equal to k and k is less than or equal to r	if (i <= k && k <= r)	01	714A	47314732	7	3
let time be r - i	time = r - i;	01	714A	47314732	8	4
else	else	01	714A	47314732	9	3
let time be r - i + 1	time = r - i + 1;	01	714A	47314732	10	4
else	} else	01	714A	47314732	11	2
let time be 0	time = 0;	01	714A	47314732	12	3
print time and newline	cout << time << endl;	01	714A	47314732	13	2
	}	01	714A	47314732	14	1
	return 0;	01	714A	47314732	15	1
	}	01	714A	47314732	16	0
	int main() {	18	515A	40894781	0	0
n, m, s = integer	int n, m, s;	18	515A	40894781	1	1
while n, m, s can be read as valid integers	while (cin >> n >> m >> s) {	18	515A	40894781	2	1
n = absolute value of n	n = abs(n);	18	515A	40894781	3	2
m = absolute value of m	m = abs(m);	18	515A	40894781	4	2
if n + m is s	if ((n + m) == s)	18	515A	40894781	5	2
print Yes	cout << "Yes" << endl;	18	515A	40894781	6	3
else if n + m > s	else if ((n + m) > s)	18	515A	40894781	7	2
print No	cout << "No" << endl;	18	515A	40894781	8	3
else	else {	18	515A	40894781	9	2
s = s - (n + m)	s -= (n + m);	18	515A	40894781	10	3
if s is even	if (s % 2 == 0)	18	515A	40894781	11	3
print Yes	cout << "Yes" << endl;	18	515A	40894781	12	4
else	else	18	515A	40894781	13	3
print No	cout << "No" << endl;	18	515A	40894781	14	4
	}	18	515A	40894781	15	2
	}	18	515A	40894781	16	1
	return 0;	18	515A	40894781	17	1
	}	18	515A	40894781	18	0
a = unsigned long long array of size 2000005	unsigned long long a[2000005];	10	587A	45279325	0	0
b = unsigned long long array of size 2000005	unsigned long long b[2000005];	10	587A	45279325	1	0
n = int	int n;	10	587A	45279325	2	0
in function judge taking an int n and returning a bool	bool judge(int n) {	10	587A	45279325	3	0
for i = 0 to n - 1	for (int i = 0; i < n - 1; ++i) {	10	587A	45279325	4	1
if a[i] is a[i + 1] return true	if (a[i] == a[i + 1]) return true;	10	587A	45279325	5	2
	}	10	587A	45279325	6	1
return false	return false;	10	587A	45279325	7	1
	}	10	587A	45279325	8	0
	int main() {	10	587A	45279325	9	0
loop while reading n	while (cin >> n) {	10	587A	45279325	10	1
set all values of a to 0	memset(a, 0, sizeof(a));	10	587A	45279325	11	2
for i = 0 to n	for (int i = 0; i < n; ++i) {	10	587A	45279325	12	2
read a[i]	cin >> a[i];	10	587A	45279325	13	3
increment b[a[i]]	b[a[i]]++;	10	587A	45279325	14	3
	}	10	587A	45279325	15	2
sort a from position 0 to n	sort(a, a + n);	10	587A	45279325	16	2
ans = int with ans = 0	int ans = 0;	10	587A	45279325	17	2
for i = 1 to 2000005	for (int i = 1; i < 2000005; ++i) {	10	587A	45279325	18	2
increment b[i] by b[i - 1] / 2	b[i] += (b[i - 1] / 2);	10	587A	45279325	19	3
set b[i - 1] to b[i - 1] mod 2	b[i - 1] %= 2;	10	587A	45279325	20	3
increment ans by b[i -1]	ans += b[i - 1];	10	587A	45279325	21	3
	}	10	587A	45279325	22	2
print ans	cout << ans << endl;	10	587A	45279325	23	2
	}	10	587A	45279325	24	1
	}	10	587A	45279325	25	0
declare fastMax taking in ints x and y and returning integer	int fastMax(int x, int y) {	13	156A	48714642	0	0
return the result of (((y - x) >> (32 - 1)) & (x ^ y)) ^ y	return (((y - x) >> (32 - 1)) & (x ^ y)) ^ y;	13	156A	48714642	1	1
	}	13	156A	48714642	2	0
declare fastMin taking in ints x and y and returning int	int fastMin(int x, int y) {	13	156A	48714642	3	0
return the result of (((y - x) >> (32 - 1)) & (x ^ y)) ^ x	return (((y - x) >> (32 - 1)) & (x ^ y)) ^ x;	13	156A	48714642	4	1
	}	13	156A	48714642	5	0
declare solve	void solve() {	13	156A	48714642	6	0
make strings a and b	string a, b;	13	156A	48714642	7	1
read a and b	cin >> a >> b;	13	156A	48714642	8	1
while a.length() is less than or equal to 4 * b.length(), set a to '#' + a + '#'	while (a.length() <= 4 * b.length()) { a = '#' + a + '#'; }	13	156A	48714642	9	1
for i = 0 to b.length() exclusive, set a to a + '#'	for (long long int i = 0; i < b.length(); i++) a = a + '#';	13	156A	48714642	10	1
create long long int ans = b.length()	long long int ans = b.length();	13	156A	48714642	11	1
for i = 0 to a.length() - b.length() exclusive	for (long long int i = 0; i < a.length() - b.length(); i++) {	13	156A	48714642	12	1
create long long int temp = 0	long long int temp = 0;	13	156A	48714642	13	2
for j = i to length of b exclusive	for (long long int j = i; j < b.length() + i; j++) {	13	156A	48714642	14	2
if a[j] is not equal to b[j - 1], increment temp	if (a[j] != b[j - i]) temp++;	13	156A	48714642	15	3
	}	13	156A	48714642	16	2
print temp to log	clog << temp << endl;	13	156A	48714642	17	2
set ans to min of ans and temp	ans = min(ans, temp);	13	156A	48714642	18	2
	}	13	156A	48714642	19	1
print ans	cout << ans << endl;	13	156A	48714642	20	1
	}	13	156A	48714642	21	0
	int main() {	13	156A	48714642	22	0
create long long int t	long long int t;	13	156A	48714642	23	1
set t to 1	t = 1;	13	156A	48714642	24	1
while t-- is truthy, call solve	while (t--) solve();	13	156A	48714642	25	1
	}	13	156A	48714642	26	0
in function fast that returns nothing	void fast() {}	18	770A	47028097	0	0
in function in_out_text that returns nothing	void in_out_txt() {	18	770A	47028097	1	0
open file input.txt to read	freopen("input.txt", "r", stdin);	18	770A	47028097	2	1
open file output.txt to print	freopen("output.txt", "w", stdout);	18	770A	47028097	3	1
	}	18	770A	47028097	4	0
	int main() {	18	770A	47028097	5	0
call cast	fast();	18	770A	47028097	6	1
n, k = integers	int n, k;	18	770A	47028097	7	1
rad n, k	cin >> n >> k;	18	770A	47028097	8	1
str, tmp = string	string str, tmp;	18	770A	47028097	9	1
ch = character = a	char ch = 'a';	18	770A	47028097	10	1
for i = 0 to k exclusive	for (int i = 0; i < k; i++) {	18	770A	47028097	11	1
str = str + ch	str += ch;	18	770A	47028097	12	2
increase ch by 1	ch++;	18	770A	47028097	13	2
	}	18	770A	47028097	14	1
idx = integer = 0	int idx = 0;	18	770A	47028097	15	1
for i = 0 to n exclusive	for (int i = 0; i < n; i++) {	18	770A	47028097	16	1
tmp = tmp + str[idx modulo k]	tmp += str[idx % k];	18	770A	47028097	17	2
increase idx by 1	idx++;	18	770A	47028097	18	2
	}	18	770A	47028097	19	1
print tmp	cout << tmp << '\n';	18	770A	47028097	20	1
	return 0;	18	770A	47028097	21	1
	}	18	770A	47028097	22	0
create function f with parameters int a, int b	int f(int a, int b) {	46	816A	47969595	0	0
x1 = integer, x1 = a / 10	int x1 = a / 10;	46	816A	47969595	1	1
x2 = integer, x2 = remainder of a / 10	int x2 = a % 10;	46	816A	47969595	2	1
x3 = integer, x3 = b / 10	int x3 = b / 10;	46	816A	47969595	3	1
x2 = integer, x4 = remainder of b / 10	int x4 = b % 10;	46	816A	47969595	4	1
if x1 equals x4 and x2 = x3, return 1	if (x1 == x4 && x2 == x3) return 1;	46	816A	47969595	5	1
	return 0;	46	816A	47969595	6	1
	}	46	816A	47969595	7	0
	int main() {	46	816A	47969595	8	0
let a, b be integers	int a, b;	46	816A	47969595	9	1
let s be char	char s;	46	816A	47969595	10	1
read a, s, b	cin >> a >> s >> b;	46	816A	47969595	11	1
if f(a, b) == 1	if (f(a, b) == 1)	46	816A	47969595	12	1
print 0	cout << "0" << endl;	46	816A	47969595	13	2
if last statement was false	else {	46	816A	47969595	14	1
for int i = 1	for (int i = 1;; i++) {	46	816A	47969595	15	2
if b + 1 equals 60 and a is smaller than 23	if (b + 1 == 60 && a < 23) {	46	816A	47969595	16	3
let b = 0	b = 0;	46	816A	47969595	17	4
add 1 to a	a += 1;	46	816A	47969595	18	4
else if a equals 23	} else if (a == 23) {	46	816A	47969595	19	3
if b is greater than 32	if (b > 32) {	46	816A	47969595	20	4
print 60 - b	cout << 60 - b << endl;	46	816A	47969595	21	5
exit for loop	break;	46	816A	47969595	22	5
if last statement was false	} else	46	816A	47969595	23	4
add one to b	b++;	46	816A	47969595	24	5
else	} else {	46	816A	47969595	25	3
add one to b	b++;	46	816A	47969595	26	4
	}	46	816A	47969595	27	3
if f(a, b) equals 1	if (f(a, b) == 1) {	46	816A	47969595	28	3
print i	cout << i << endl;	46	816A	47969595	29	4
exit for loop	break;	46	816A	47969595	30	4
	}	46	816A	47969595	31	3
	}	46	816A	47969595	32	2
	}	46	816A	47969595	33	1
	return 0;	46	816A	47969595	34	1
	}	46	816A	47969595	35	0
	int main() {	12	394A	47709470	0	0
s=string	string s;	12	394A	47709470	1	1
read s	cin >> s;	12	394A	47709470	2	1
pos=integer	int pos;	12	394A	47709470	3	1
for i=0 to size of s exclusive	for (int i = int(0); i < int(int(s.size())); ++i)	12	394A	47709470	4	1
if s[i] is '=' then set pos to i	if (s[i] == '=') pos = i;	12	394A	47709470	5	2
create integers c1 and c2 with values 0	int c1 = 0, c2 = 0;	12	394A	47709470	6	1
for i=0 to pos exclusive	for (int i = int(0); i < int(pos); ++i)	12	394A	47709470	7	1
if s[i] is '|' then increment c1	if (s[i] == '|') c1++;	12	394A	47709470	8	2
for i=pos to size of s exclusive	for (int i = int(pos); i < int(int(s.size())); ++i)	12	394A	47709470	9	1
if s[i]= '|' then add 1 to c2	if (s[i] == '|') c2++;	12	394A	47709470	10	2
if c1 is equal to c2	if (c1 == c2)	12	394A	47709470	11	1
print s	cout << s << endl;	12	394A	47709470	12	2
else do the following	else {	12	394A	47709470	13	1
if c1=c2+2	if (c1 == c2 + 2) {	12	394A	47709470	14	2
if s[1] is not equal to +	if (s[1] != '+') {	12	394A	47709470	15	3
for i=1 to size of s exclusive print s[i]	for (int i = int(1); i < int(int(s.size())); ++i) cout << s[i];	12	394A	47709470	16	4
print | and a newline	cout << "|" << endl;	12	394A	47709470	17	4
else do the following	} else {	12	394A	47709470	18	3
for i=0 to size of s exclusive	for (int i = int(0); i < int(int(s.size())); ++i)	12	394A	47709470	19	4
if i is not equal to 2 then print s[i]	if (i != 2) cout << s[i];	12	394A	47709470	20	5
print |	cout << "|" << endl;	12	394A	47709470	21	4
	}	12	394A	47709470	22	3
else if c1+c2 = c2 then	} else if (c1 + 2 == c2) {	12	394A	47709470	23	2
print |	cout << "|";	12	394A	47709470	24	3
for i=0 to size of s-1 exclusive print s[i]	for (int i = int(0); i < int(int(s.size()) - 1); ++i) cout << s[i];	12	394A	47709470	25	3
print new line	cout << endl;	12	394A	47709470	26	3
else do the following	} else	12	394A	47709470	27	2
print Impossible	cout << "Impossible" << endl;	12	394A	47709470	28	3
	}	12	394A	47709470	29	1
	return 0;	12	394A	47709470	30	1
	}	12	394A	47709470	31	0
create a map from long longs to long longs called mpu	map<long long, long long> mp;	54	274A	49116190	0	0
	;	54	274A	49116190	1	0
	int main() {	54	274A	49116190	2	0
declare integers n and k	int n, k;	54	274A	49116190	3	1
read n and k	cin >> n >> k;	54	274A	49116190	4	1
declare int x	int x;	54	274A	49116190	5	1
s1 and s2 are set of unique long long variables	set<long long> s1, s2;	54	274A	49116190	6	1
for i from 0 to n exclusive	for (int i = 0; i < n; i++) {	54	274A	49116190	7	1
read x	cin >> x;	54	274A	49116190	8	2
add x to set s1	s1.insert(x);	54	274A	49116190	9	2
increment mp[x] by one	mp[x]++;	54	274A	49116190	10	2
	}	54	274A	49116190	11	1
if k is equal to 1	if (k == 1) {	54	274A	49116190	12	1
print length of s1	cout << s1.size() << endl;	54	274A	49116190	13	2
	return 0;	54	274A	49116190	14	2
	}	54	274A	49116190	15	1
declare long long variable ans = 1	long long ans = 1;	54	274A	49116190	16	1
it is a long long set iterator	set<long long>::iterator it;	54	274A	49116190	17	1
while length of s1 > 0	while (s1.size() > 0) {	54	274A	49116190	18	1
declare long long count = 0	long long count = 0;	54	274A	49116190	19	2
clear s2	s2.clear();	54	274A	49116190	20	2
move iterator through s1 in a loop	for (it = s1.begin(); it != s1.end(); it++) {	54	274A	49116190	21	2
if value at it is not found in s2	if (s2.find(*it) == s2.end()) {	54	274A	49116190	22	3
increase count by mp[value at it]	count += mp[*it];	54	274A	49116190	23	4
if value at it * k is not found in s1, insert it into s2	if (s1.find((*it) * k) != s1.end()) s2.insert((*it) * k);	54	274A	49116190	24	4
	}	54	274A	49116190	25	3
	}	54	274A	49116190	26	2
assign max of ans and count to ans	ans = max(ans, count);	54	274A	49116190	27	2
assign s2 to s1	s1 = s2;	54	274A	49116190	28	2
	}	54	274A	49116190	29	1
print ans	cout << ans << endl;	54	274A	49116190	30	1
	return 0;	54	274A	49116190	31	1
	}	54	274A	49116190	32	0
define void argumentless function solve	void solve() {	29	550A	49103506	0	0
define string s	string s;	29	550A	49103506	1	1
read s	cin >> s;	29	550A	49103506	2	1
define integer n to be lenth of s	int n = s.length();	29	550A	49103506	3	1
define bool flag to be F	bool flag = false;	29	550A	49103506	4	1
for int i from 0 to n - 1 (exclusive) by 1	for (int i = 0; i < n - 1; i++) {	29	550A	49103506	5	1
if s[i] is 'A' and s[i + 1] is 'B'	if (s[i] == 'A' && s[i + 1] == 'B') {	29	550A	49103506	6	2
for int j from i + 2 to n - 1 (exclusive) by 1	for (int j = i + 2; j < n - 1; j++) {	29	550A	49103506	7	3
if s[j] is character B and s[j + 1] is character A, then set flag to true	if (s[j] == 'B' && s[j + 1] == 'A') { flag = true; }	29	550A	49103506	8	4
	}	29	550A	49103506	9	3
break out of loop	break;	29	550A	49103506	10	3
	}	29	550A	49103506	11	2
	}	29	550A	49103506	12	1
for int i from 0 to n - 1 (exclusive) by +1	for (int i = 0; i < n - 1; i++) {	29	550A	49103506	13	1
if s[i] = character B and s[i + 1] = character A	if (s[i] == 'B' && s[i + 1] == 'A') {	29	550A	49103506	14	2
for int j by +1 from i + 2 to n - 1 (exclusive)	for (int j = i + 2; j < n - 1; j++) {	29	550A	49103506	15	3
if s[j] = 'A' and s[j + 1] = 'B', then assign true to flag	if (s[j] == 'A' && s[j + 1] == 'B') { flag = true; }	29	550A	49103506	16	4
	}	29	550A	49103506	17	3
break out	break;	29	550A	49103506	18	3
	}	29	550A	49103506	19	2
	}	29	550A	49103506	20	1
if flag is T	if (flag) {	29	550A	49103506	21	1
print "YES" and newline	cout << "YES" << endl;	29	550A	49103506	22	2
else	} else	29	550A	49103506	23	1
print "NO" and newline	cout << "NO" << endl;	29	550A	49103506	24	2
	}	29	550A	49103506	25	0
	int main() {	29	550A	49103506	26	0
define integer t, set to 1	int t = 1;	29	550A	49103506	27	1
while t, decrement it and solve()	while (t--) { solve(); }	29	550A	49103506	28	1
	return 0;	29	550A	49103506	29	1
	}	29	550A	49103506	30	0
	int main() {	01	960A	47106209	0	0
declare long longs a, b, c, s1 = 0, s2 = 0, s3 = 0, flag = 0, i, flag1 = 0, flag2 = 0	long long a, b, c, s1 = 0, s2 = 0, s3 = 0, flag = 0, i, flag1 = 0, flag2 = 0;	01	960A	47106209	1	1
declare string s	string s;	01	960A	47106209	2	1
read s	cin >> s;	01	960A	47106209	3	1
declare long long n = size of s	long long n = s.size();	01	960A	47106209	4	1
for i = 0 to n exclusive	for (i = 0; i < n; i++) {	01	960A	47106209	5	1
if s[i] is 'a'	if (s[i] == 'a') {	01	960A	47106209	6	2
if s2 is not 0 or s3 is not 0	if (s2 != 0 || s3 != 0) {	01	960A	47106209	7	3
let flag be 1	flag = 1;	01	960A	47106209	8	4
end loop	break;	01	960A	47106209	9	4
	}	01	960A	47106209	10	3
increment s1	s1++;	01	960A	47106209	11	3
	}	01	960A	47106209	12	2
if s[1] is 'b'	if (s[i] == 'b') {	01	960A	47106209	13	2
if s1 is 0 or s3 is 0	if (s1 == 0 || s3 != 0) {	01	960A	47106209	14	3
let flag be 1	flag = 1;	01	960A	47106209	15	4
end loop	break;	01	960A	47106209	16	4
	}	01	960A	47106209	17	3
increment s2	s2++;	01	960A	47106209	18	3
	}	01	960A	47106209	19	2
if s[i] is 'c'	if (s[i] == 'c') {	01	960A	47106209	20	2
if s1 is 0 or s2 is 0	if (s1 == 0 || s2 == 0) {	01	960A	47106209	21	3
let flag be 1	flag = 1;	01	960A	47106209	22	4
end loop	break;	01	960A	47106209	23	4
	}	01	960A	47106209	24	3
increment s3	s3++;	01	960A	47106209	25	3
	}	01	960A	47106209	26	2
	}	01	960A	47106209	27	1
if s1 is 0 or s2 is 0, let flag be 1	if (s1 == 0 || s2 == 0) flag = 1;	01	960A	47106209	28	1
if ( s1 is s3 or s3 is s2 ) and flag is 0	if ((s1 == s3 || s3 == s2) && flag == 0)	01	960A	47106209	29	1
print "YES" and newline	cout << "YES" << endl;	01	960A	47106209	30	2
else	else	01	960A	47106209	31	1
print "NO" and newline	cout << "NO" << endl;	01	960A	47106209	32	2
	return 0;	01	960A	47106209	33	1
	}	01	960A	47106209	34	0
create anonymous enum with values { C, CS, D, DS, E, F, FS, G, GS, A, B, H }	enum { C, CS, D, DS, E, F, FS, G, GS, A, B, H };	25	88A	44051094	0	0
in function FazInt with return type of int and constant string reference s as parameter	int FazInt(const string &s) {	25	88A	44051094	1	0
if s is "C" return C	if (s == "C") return C;	25	88A	44051094	2	1
if s is "C#" return CS	if (s == "C#") return CS;	25	88A	44051094	3	1
if s is "D" return D	if (s == "D") return D;	25	88A	44051094	4	1
if s is "D#" return DS	if (s == "D#") return DS;	25	88A	44051094	5	1
if s is "E" return E	if (s == "E") return E;	25	88A	44051094	6	1
if s is "F" return F	if (s == "F") return F;	25	88A	44051094	7	1
if s is "F#" return FS	if (s == "F#") return FS;	25	88A	44051094	8	1
if s is "G" return G	if (s == "G") return G;	25	88A	44051094	9	1
if s is "G#" return GS	if (s == "G#") return GS;	25	88A	44051094	10	1
if s is "A" return A	if (s == "A") return A;	25	88A	44051094	11	1
if s is "B" return B	if (s == "B") return B;	25	88A	44051094	12	1
if s is "H" return H	if (s == "H") return H;	25	88A	44051094	13	1
	}	25	88A	44051094	14	0
in function Dist returning int and taking const int references a and b	int Dist(const int &a, const int &b) {	25	88A	44051094	15	0
if b less than a then return 12 + (b - a)	if (b < a) return 12 + (b - a);	25	88A	44051094	16	1
return b - a	return b - a;	25	88A	44051094	17	1
	}	25	88A	44051094	18	0
in function IsMajor that is returning bool and taking const int references a, b, and c	bool IsMajor(const int &a, const int &b, const int &c) {	25	88A	44051094	19	0
return (Dist(a, b) is 4 and Dist(b, c) is 3)	return (Dist(a, b) == 4 && Dist(b, c) == 3);	25	88A	44051094	20	1
	}	25	88A	44051094	21	0
in function IsMinor that is returning bool and taking const int references a, b, and c	bool IsMinor(const int &a, const int &b, const int &c) {	25	88A	44051094	22	0
return (Dist(a, b) is 3 and Dist(b, c) is 4)	return (Dist(a, b) == 3 && Dist(b, c) == 4);	25	88A	44051094	23	1
	}	25	88A	44051094	24	0
	int main() {	25	88A	44051094	25	0
create string s	string s;	25	88A	44051094	26	1
create int array notes of length 3	int notes[3];	25	88A	44051094	27	1
for i = 0 to 3 exclusive	for (int i = 0; i < 3; i++) {	25	88A	44051094	28	1
read s	cin >> s;	25	88A	44051094	29	2
set notes[i] to FazInt of s	notes[i] = FazInt(s);	25	88A	44051094	30	2
	}	25	88A	44051094	31	1
for i = 0 to 6 exclusive	for (int i = 0; i < 6; i++) {	25	88A	44051094	32	1
if IsMajor(notes[0], notes[1], notes[2])	if (IsMajor(notes[0], notes[1], notes[2])) {	25	88A	44051094	33	2
print "major\n"	cout << "major\n";	25	88A	44051094	34	3
	return 0;	25	88A	44051094	35	3
	}	25	88A	44051094	36	2
if IsMinor(notes[0], notes[1], notes[2])	if (IsMinor(notes[0], notes[1], notes[2])) {	25	88A	44051094	37	2
print "minor\n"	cout << "minor\n";	25	88A	44051094	38	3
	return 0;	25	88A	44051094	39	3
	}	25	88A	44051094	40	2
next_permutation(&notes[0], &notes[3])	next_permutation(&notes[0], &notes[3]);	25	88A	44051094	41	2
	}	25	88A	44051094	42	1
print "strange\n"	cout << "strange\n";	25	88A	44051094	43	1
	return 0;	25	88A	44051094	44	1
	}	25	88A	44051094	45	0
declare constant integer MAX = 2e6, mod = 998244353	const int MAX = 2e6, mod = 998244353;	01	321A	47885309	0	0
declare integer array dp size MAX by 26	int dp[MAX][26];	01	321A	47885309	1	0
declare boolean ck with long longs lu, ld, ru, rd as arguments	bool ck(long long lu, long long ld, long long ru, long long rd) {	01	321A	47885309	2	0
if lu is true	if (lu) {	01	321A	47885309	3	1
declare long long step = absolute value of ( ld / lu )	long long step = abs(ld / lu);	01	321A	47885309	4	2
if lu * step is ld and ru * step is rd, return 1	if (lu * step == ld && ru * step == rd) return 1;	01	321A	47885309	5	2
	}	01	321A	47885309	6	1
if ru is true	if (ru) {	01	321A	47885309	7	1
declare long long step = absolute value of rd / ru	long long step = abs(rd / ru);	01	321A	47885309	8	2
if lu * step is ld and ru * step is rd, return 1	if (lu * step == ld && ru * step == rd) return 1;	01	321A	47885309	9	2
	}	01	321A	47885309	10	1
	return 0;	01	321A	47885309	11	1
	}	01	321A	47885309	12	0
	int main() {	01	321A	47885309	13	0
declare integers a, b	int a, b;	01	321A	47885309	14	1
declare string x	string x;	01	321A	47885309	15	1
read a, b, x	cin >> a >> b >> x;	01	321A	47885309	16	1
declare integer n = size of x	int n = x.size();	01	321A	47885309	17	1
declare long longs tx = 0, ty = 0	long long tx = 0, ty = 0;	01	321A	47885309	18	1
declare long longs cx = 0, cy = 0	long long cx = 0, cy = 0;	01	321A	47885309	19	1
for i = 0 to n exclusive	for (int i = 0; i < n; i++) {	01	321A	47885309	20	1
if x[i] is 'R'	if (x[i] == 'R')	01	321A	47885309	21	2
increment tx	tx++;	01	321A	47885309	22	3
else if x[i] is 'L'	else if (x[i] == 'L')	01	321A	47885309	23	2
decrement tx	tx--;	01	321A	47885309	24	3
